lat	long	cold.sst	warm.sst	NumSp	E200
55.4	-18.733	9.89	14.15	13	10.56438199
57	-21.317	9.49	13.64	12	9.482299279
58.717	-15.55	8.83	12.96	9	7.572217668
59.95	-19.2	8.68	12.52	9	8.146073086
60.383	-20.967	8.42	12.06	9	8.61157675
60.8	-22.433	8.24	11.88	9	8.448674259
61.183	-23	7.85	11.57	8	7.513126511
61.55	-25.117	7.71	10.9	10	8.645361228
65.6	-6.483	2.86	9.16	3	2.656194925
66.733	-6.733	2.42	8.84	3	2.938934666
67.783	-6.667	2.24	8.61	5	3.85899773
72.967	-6.983	-0.89	3.97	3	2.559330705
75.917	-5.117	-1.75	-0.42	4	3.059500153
65.167	-0.067	5.14	10.95	6	5.478236203
62.85	-14.533	7.83	11.5	8	7.395331807
61.917	-24.05	7.74	11.04	9	8.503738066
18.433	-21.083	20.94	24.47	20	17.77365664
21.233	-21.317	20.55	23.68	20	17.61694841
22.65	-19.2	19.68	22.73	18	15.31832778
24.117	-19.1	19.97	23.12	24	21.56747144
25.717	-20.883	20.15	23.49	22	18.43974729
25.717	-19.517	19.97	23.27	22	20.5029321
25.567	-16.833	18.85	21.88	22	18.68657235
25.833	-16.917	18.85	21.88	19	16.87691361
25.883	-17.55	19.26	22.46	22	18.48726801
25.917	-19.05	19.97	23.27	20	18.21214938
26.6	-15.15	18.51	21.63	20	18.57456713
26.917	-19.133	19.8	23.29	22	19.847934
24.5	-16.95	18.66	21.52	19	15.78844229
10.183	-77.2	26.67	28.49	18	15.21734576
44.183	-14.9	12.45	19.09	17	14.77737575
45.083	-10.55	12.02	18.57	14	12.7765049
54.967	-15.383	10.2	14.53	11	10.23028495
21.3	-69.65	25.34	28.49	16	13.69820906
16.567	-79.517	26.65	28.44	14	12.71415213
7.633	-48.083	26.64	28.48	14	12.77242631
4.967	-45.967	27.19	27.75	16	12.9336206
2.217	-45.4	27.12	27.39	17	14.5860452
0.917	-43.767	26.85	27.62	11	10.83257565
1.683	-41.517	27.18	27.4	15	13.74404887
30.733	-75.317	21.12	28.28	18	17.55497076
38.033	-70.8	13.68	25.45	16	12.2991298
13.167	-79.817	26.58	28.15	13	12.29640189
1.85	-30	26.26	27.36	15	13.87839068
1.783	-25.433	25.94	27.51	20	17.80900017
4.583	-10.05	26.25	28.12	17	16.18058523
3.7	-7.717	25.57	28.01	17	15.42815863
4.517	-0.717	24.22	27.82	15	13.31436938
2.017	2.633	25.55	28.51	16	15.74514427
59.65	-22.767	8.52	12.36	11	9.357869143
53.867	-21.1	9.93	14.62	10	9.29572789
63.467	-0.067	6.23	11.5	8	7.347035336
