lat	long	cold.sst	warm.sst	NumSp	E200
18.08	-21.03	26.02	29.05	18	16.84326393
18.08	-21.03	25.32	29.36	17	15.26627906
18.08	-21.03	24.37	28.99	21	18.15886785
18.08	-21.03	25.45	27.17	20	18.73016338
18.08	-21.03	23.9	27.98	21	18.98990203
18.08	-21.03	22.74	27.37	21	18.19242585
18.08	-21.03	21.01	28.59	16	15.09907811
18.08	-21.03	23.55	28.52	21	18.57588316
18.08	-21.03	19.05	26.07	21	19.06135067
18.08	-21.03	19.5	27.08	24	21.02839712
18.08	-21.03	19.23	26.8	21	18.4854238
18.08	-21.03	21.83	28.74	20	18.20625796
18.08	-21.03	20.25	26.75	22	20.15480714
18.08	-21.03	21.34	27.51	24	20.43096108
9.45	-19.39	23.54	26.48	16	15.55742578
9.45	-19.39	22.15	26.82	18	17.76293735
9.45	-19.39	22.58	25.53	17	16.95913446
9.45	-19.39	24.5	25.87	18	17.17612765
9.45	-19.39	23.49	26.95	18	17.9873642
9.45	-19.39	23.63	25.81	18	17.74921032
9.45	-19.39	24.58	26.14	19	18.21266003
9.45	-19.39	24.21	27.61	20	18.7421312
9.45	-19.39	25.48	26.65	19	18.0581052
9.45	-19.39	24.9	27.06	21	20.02781139
9.45	-19.39	24.04	26.59	20	18.08938403
9.45	-19.39	29.18	26.96	17	16.32838213
9.45	-19.39	26.88	26.68	20	17.90004112
9.45	-19.39	28.91	27.1	20	18.46154445
9.45	-19.39	28.9	27.66	23	20.99492269
9.45	-19.39	27.94	26.84	22	20.15125911
9.45	-19.39	28.98	27.16	18	16.87070445
9.45	-19.39	28.53	26.79	22	19.41419531
9.45	-19.39	28.9	27.1	19	17.85438241
9.45	-19.39	26.91	26.95	22	20.61880436
9.45	-19.39	28.3	27.5	24	21.82827257
9.45	-19.39	27.84	27.05	21	19.3564195
9.45	-19.39	28.3	27.24	20	19.46087944
9.45	-19.39	27.69	26.91	18	17.60248111
9.45	-19.39	26.68	27.05	22	21.02601563
9.45	-19.39	27.13	27.57	24	21.34322644
9.45	-19.39	26.23	26.12	20	19.14328922
9.45	-19.39	27.59	27.38	21	19.9676363
9.45	-19.39	28.84	27.52	20	18.1753044
4.55	-21.9	25.77	27	21	19.33463565
4.55	-21.9	26.85	26.73	22	19.89834784
4.55	-21.9	26.7	27.53	19	17.081791
4.55	-21.9	27.57	27	24	22.12297129
4.55	-21.9	26.61	27.69	20	18.3070764
4.55	-21.9	27.17	26.41	24	20.85312283
4.55	-21.9	27.64	26.33	19	17.37521712
4.55	-21.9	27.47	27.47	21	19.41403179
4.55	-21.9	26.18	26.92	20	18.2123048
4.55	-21.9	27.44	26.3	22	20.07839735
4.55	-21.9	25.59	25.84	21	19.98466967
4.55	-21.9	26.59	26.28	19	18.61372804
4.55	-21.9	26.32	26.56	20	18.48335021
4.55	-21.9	25.33	25.88	21	19.90637243
4.55	-21.9	27.06	27.84	21	18.7912353
4.55	-21.9	28.05	27.54	24	21.93466999
4.55	-21.9	25.46	27.03	25	23.29710701
15.5	-58.5	25.87	27.17	23	20.66722978
15.5	-58.5	25.93	27.86	20	18.27147009
15.5	-58.5	26.96	27.39	19	17.58010842
15.5	-58.5	26.5	27.19	18	16.80157504
15.5	-58.5	26.75	26.71	18	16.92839469
15.5	-58.5	25.65	27.05	22	20.15198825
